x                        chebyshev                chebyshev-jackson       
-4.45445445445445398e-01 +1.08192737929166061e+00 +8.54565223623809045e-01
-4.43443443443443441e-01 +1.08053280453829381e+00 +8.63267749417427455e-01
-4.41441441441441484e-01 +1.07808377525409571e+00 +8.71630823529724985e-01
-4.39439439439439417e-01 +1.07468940118683731e+00 +8.79655597113895182e-01
-4.37437437437437460e-01 +1.07046083312048679e+00 +8.87343992978844698e-01
-4.35435435435435392e-01 +1.06551022575365373e+00 +8.94698675662430221e-01
-4.33433433433433435e-01 +1.05994972470669158e+00 +9.01723019395872960e-01
-4.31431431431431478e-01 +1.05389048668325436e+00 +9.08421074168064502e-01
-4.29429429429429410e-01 +1.04744174122331835e+00 +9.14797530102342438e-01
-4.27427427427427453e-01 +1.04070990182704382e+00 +9.20857680360915420e-01
-4.25425425425425385e-01 +1.03379773351120541e+00 +9.26607382793428025e-01
-4.23423423423423428e-01 +1.02680358309141750e+00 +9.32053020546221411e-01
-4.21421421421421472e-01 +1.01982067767332341e+00 +9.37201461847716133e-01
-4.19419419419419404e-01 +1.01293649599402880e+00 +9.42060019183043162e-01
-4.17417417417417447e-01 +1.00623221639075089e+00 +9.46636408067607737e-01
-4.15415415415415379e-01 +9.99782244296638978e-01 +9.50938705624818637e-01
-4.13413413413413422e-01 +9.93653821283281058e-01 +9.54975309167699793e-01
-4.11411411411411465e-01 +9.87906716794743067e-01 +9.58754894977685401e-01
-4.09409409409409397e-01 +9.82593002857902409e-01 +9.62286377466591292e-01
-4.07407407407407440e-01 +9.77756911216708824e-01 +9.65578868899649390e-01
-4.05405405405405372e-01 +9.73434771531777043e-01 +9.68641639848654146e-01
-4.03403403403403416e-01 +9.69655028518697670e-01 +9.71484080534773753e-01
-4.01401401401401459e-01 +9.66438335175401564e-01 +9.74115663210514349e-01
-3.99399399399399391e-01 +9.63797718576894002e-01 +9.76545905719749863e-01
-3.97397397397397434e-01 +9.61738814100015937e-01 +9.78784336363739849e-01
-3.95395395395395366e-01 +9.60260163386221999e-01 +9.80840460189729813e-01
-3.93393393393393409e-01 +9.59353570860534743e-01 +9.82723726807126718e-01
-3.91391391391391341e-01 +9.59004513202848630e-01 +9.84443499824461554e-01
-3.89389389389389384e-01 +9.59192595815947402e-01 +9.86009027988461129e-01
-3.87387387387387427e-01 +9.59892050054357515e-01 +9.87429418094619482e-01
-3.85385385385385359e-01 +9.61072264770235996e-01 +9.88713609726771470e-01
-3.83383383383383403e-01 +9.62698345596754490e-01 +9.89870351871379062e-01
-3.81381381381381335e-01 +9.64731695325113714e-01 +9.90908181440633418e-01
-3.79379379379379378e-01 +9.67130608736812336e-01 +9.91835403727087006e-01
-3.77377377377377421e-01 +9.69850875325970918e-01 +9.92660074801450243e-01
-3.75375375375375353e-01 +9.72846383484456734e-01 +9.93389985854446156e-01
-3.73373373373373396e-01 +9.76069719921922374e-01 +9.94032649473281404e-01
-3.71371371371371328e-01 +9.79472758349669625e-01 +9.94595287833399455e-01
-3.69369369369369371e-01 +9.83007231767075940e-01 +9.95084822776790223e-01
-3.67367367367367414e-01 +9.86625283047359303e-01 +9.95507867739248820e-01
-3.65365365365365347e-01 +9.90279988920515719e-01 +9.95870721480678234e-01
-3.63363363363363390e-01 +9.93925852889880224e-01 +9.96179363564801745e-01
-3.61361361361361322e-01 +9.97519263089277075e-01 +9.96439451527551423e-01
-3.59359359359359365e-01 +1.00101891158425871e+00 +9.96656319666928248e-01
-3.57357357357357408e-01 +1.00438617213762704e+00 +9.96834979381303166e-01
-3.55355355355355340e-01 +1.00758543399024236e+00 +9.96980120977964512e-01
-3.53353353353353383e-01 +1.01058438974723486e+00 +9.97096116869213400e-01
-3.51351351351351315e-01 +1.01335427600124550e+00 +9.97187026069480731e-01
-3.49349349349349358e-01 +1.01587006586259943e+00 +9.97256599903749485e-01
-3.47347347347347402e-01 +1.01811061309591033e+00 +9.97308288835059176e-01
-3.45345345345345334e-01 +1.02005874807827834e+00 +9.97345250316989507e-01
-3.43343343343343377e-01 +1.02170132629113120e+00 +9.97370357575765309e-01
-3.41341341341341309e-01 +1.02302923053124384e+00 +9.97386209226001408e-01
-3.39339339339339352e-01 +1.02403732847245132e+00 +9.97395139624053351e-01
-3.37337337337337395e-01 +1.02472438762419849e+00 +9.97399229863459080e-01
-3.35335335335335327e-01 +1.02509295011308144e+00 +9.97400319318023643e-01
-3.33333333333333370e-01 +1.02514917005602224e+00 +9.97400017639668235e-01
-3.31331331331331302e-01 +1.02490261659629645e+00 +9.97399717120208584e-01
-3.29329329329329346e-01 +1.02436604593439839e+00 +9.97400605328739198e-01
-3.27327327327327389e-01 +1.02355514590325036e+00 +9.97403677939196376e-01
-3.25325325325325321e-01 +1.02248825681060840e+00 +9.97409751665967015e-01
-3.23323323323323364e-01 +1.02118607240027970e+00 +9.97419477229038565e-01
-3.21321321321321296e-01 +1.01967132486790879e+00 +9.97433352274108120e-01
-3.19319319319319339e-01 +1.01796845790718438e+00 +9.97451734177269289e-01
-3.17317317317317271e-01 +1.01610329175923431e+00 +9.97474852668317702e-01
-3.15315315315315314e-01 +1.01410268419311533e+00 +9.97502822211320916e-01
-3.13313313313313357e-01 +1.01199419126037782e+00 +9.97535654085873302e-01
-3.11311311311311290e-01 +1.00980573154384068e+00 +9.97573268117324274e-01
-3.09309309309309333e-01 +1.00756525746235992e+00 +9.97615504009236154e-01
-3.07307307307307265e-01 +1.00530043700227489e+00 +9.97662132236321275e-01
-3.05305305305305308e-01 +1.00303834902536471e+00 +9.97712864461133941e-01
-3.03303303303303351e-01 +1.00080519505575039e+00 +9.97767363442768840e-01
-3.01301301301301283e-01 +9.98626030177658053e-01 +9.97825252410770136e-01
-2.99299299299299326e-01 +9.96524515385835197e-01 +9.97886123882303355e-01
-2.97297297297297258e-01 +9.94522693424336635e-01 +9.97949547905392809e-01
-2.95295295295295301e-01 +9.92640789831076620e-01 +9.98015079715636522e-01
-2.93293293293293345e-01 +9.90897040578678667e-01 +9.98082266798268947e-01
-2.91291291291291277e-01 +9.89307547370469331e-01 +9.98150655351713323e-01
