problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk38.mtx          8032 DS   36 13.6    3.0    5.2 2048    6.0   11.9
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstm08.mtx          1074 LL    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm08.mtx          1074 LL    0  2.0    0.0    0.0  512    0.0    0.0
bcsstm08.mtx          1074 LL    0  2.0    0.0    0.0 1024    0.0    0.0
bcsstm08.mtx          1074 LL    0  2.0    0.0    0.0 2048    0.1    0.1
bcsstm08.mtx          1074 LU    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm08.mtx          1074 LU    0  2.0    0.0    0.0  512    0.0    0.0
bcsstm08.mtx          1074 LU    0  2.0    0.0    0.0 1024    0.0    0.0
bcsstm08.mtx          1074 LU    0  2.0    0.0    0.0 2048    0.1    0.1
bcsstm08.mtx          1074 DS    4 537.0    0.0    0.1  256    0.0    0.1
bcsstm08.mtx          1074 DS    4 537.0    0.0    0.1  512    0.1    0.1
bcsstm08.mtx          1074 DS    4 537.0    0.0    0.1 1024    0.7    1.1
bcsstm08.mtx          1074 DS    4 537.0    0.0    0.1 2048    0.3    0.6
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstm09.mtx          1083 LL    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm09.mtx          1083 LL    0  2.0    0.0    0.0  512    0.0    0.0
bcsstm09.mtx          1083 LL    0  2.0    0.0    0.0 1024    0.0    0.0
bcsstm09.mtx          1083 LL    0  2.0    0.0    0.0 2048    0.1    0.1
bcsstm09.mtx          1083 LU    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm09.mtx          1083 LU    0  2.0    0.0    0.0  512    0.0    0.0
bcsstm09.mtx          1083 LU    0  2.0    0.0    0.0 1024    0.0    0.0
bcsstm09.mtx          1083 LU    0  2.0    0.0    0.0 2048    0.1    0.1
bcsstm09.mtx          1083 DS    4 541.5    0.1    0.1  256    0.0    0.1
bcsstm09.mtx          1083 DS    4 541.5    0.1    0.1  512    0.1    0.1
bcsstm09.mtx          1083 DS    4 541.5    0.1    0.1 1024    0.5    0.8
bcsstm09.mtx          1083 DS    4 541.5    0.1    0.1 2048    0.3    0.6
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstm11.mtx          1473 LL    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm11.mtx          1473 LL    0  2.0    0.0    0.0  512    0.0    0.0
bcsstm11.mtx          1473 LL    0  2.0    0.0    0.0 1024    0.1    0.1
bcsstm11.mtx          1473 LL    0  2.0    0.0    0.0 2048    0.2    0.2
bcsstm11.mtx          1473 LU    0  2.0    0.0    0.0  256    0.0    0.0
bcsstm11.mtx          1473 LU    0  2.0    0.0    0.0  512    0.0    0.0
bcsstm11.mtx          1473 LU    0  2.0    0.0    0.0 1024    0.1    0.1
bcsstm11.mtx          1473 LU    0  2.0    0.0    0.0 2048    0.2    0.2
bcsstm11.mtx          1473 DS    8 736.5    0.1    0.1  256    0.1    0.1
bcsstm11.mtx          1473 DS    8 736.5    0.1    0.1  512    0.1    0.2
bcsstm11.mtx          1473 DS    8 736.5    0.1    0.1 1024    0.2    0.4
bcsstm11.mtx          1473 DS    8 736.5    0.1    0.1 2048    0.5    0.9
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstm12.mtx          1473 LL    0  3.8    0.0    0.0  256    0.1    0.1
bcsstm12.mtx          1473 LL    0  3.8    0.0    0.0  512    0.2    0.3
bcsstm12.mtx          1473 LL    0  3.8    0.0    0.0 1024    0.4    0.7
bcsstm12.mtx          1473 LL    0  3.8    0.0    0.0 2048    0.9    1.8
bcsstm12.mtx          1473 LU    0  4.3    0.0    0.0  256    0.1    0.2
bcsstm12.mtx          1473 LU    0  4.3    0.0    0.0  512    0.2    0.3
bcsstm12.mtx          1473 LU    0  4.3    0.0    0.0 1024    0.4    0.8
bcsstm12.mtx          1473 LU    0  4.3    0.0    0.0 2048    1.0    1.9
bcsstm12.mtx          1473 DS    8 53.6    0.1    0.2  256    0.1    0.2
bcsstm12.mtx          1473 DS    8 53.6    0.1    0.2  512    0.1    0.3
bcsstm12.mtx          1473 DS    8 53.6    0.1    0.2 1024    0.3    0.7
bcsstm12.mtx          1473 DS    8 53.6    0.1    0.2 2048    0.6    1.1
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstm13.mtx          2003 LL   -1 -0.0    nan    nan  256    nan    nan
bcsstm13.mtx          2003 LL   -1 -0.0    nan    nan  512    nan    nan
bcsstm13.mtx          2003 LL   -1 -0.0    nan    nan 1024    nan    nan
bcsstm13.mtx          2003 LL   -1 -0.0    nan    nan 2048    nan    nan
bcsstm13.mtx          2003 LU   -1 -0.0    nan    nan  256    nan    nan
bcsstm13.mtx          2003 LU   -1 -0.0    nan    nan  512    nan    nan
bcsstm13.mtx          2003 LU   -1 -0.0    nan    nan 1024    nan    nan
bcsstm13.mtx          2003 LU   -1 -0.0    nan    nan 2048    nan    nan
bcsstm13.mtx          2003 DS   -1 -0.0    nan    nan  256    nan    nan
